frequency,mean_velocity,standard_deviation
1.0,8.584066195392799,0.6644225526732596
1.5,14.081781182500908,0.1473073538493077
2.0,17.91798087810936,0.0
2.5,22.96760539107974,0.0
3.0,20.474096912925056,4.3840270587645325
3.5,31.839590465476835,0.0
4.0,20.618281729752542,8.074332317077516
5.0,18.535314028810166,0.0
6.0,13.539225860642025,4.045628810484749
6.5,17.537808123800374,1.4852235643220073
7.0,13.693900343145454,6.847417676858819
7.5,14.836415665672343,4.7325223336601905
8.0,22.55413830003623,12.191122405306153
8.5,13.121333117445289,2.6947680611480243
9.0,22.892861935339877,0.0
