frequency,mean_velocity,standard_deviation
1.0,8.674033343652079,0.9379039361351933
1.5,12.445217237599186,1.8963059552859414
2.0,17.083818176809256,2.4658868136509104
2.5,18.813578345047105,4.599910381243737
3.0,23.98314070497898,3.5656826711787764
3.5,21.39708974828753,4.446707302213238
4.0,23.310950245992757,6.021416118791184
4.5,21.620773075852355,4.787882973489198
5.0,21.378762590268504,4.517710011428482
5.5,22.59152048106074,3.0486759643654233
6.0,19.154088275540904,6.0988530801242575
6.5,20.505715666150138,4.314069393490356
7.0,18.72089445746631,5.406481847802823
7.5,17.6804367042548,6.306375182771574
8.0,14.7764143773792,5.934297407884136
8.5,17.7399364681989,5.5996782774199865
9.0,12.226590492583103,3.6834094201270475
