frequency,mean_velocity,standard_deviation
1.0,8.114044348569534,1.7339683213372301
1.5,12.17718844637426,1.837368555390159
2.0,15.863646050453395,3.417041700725638
2.5,16.50084320099822,4.433740783030554
3.0,16.434620999823323,5.791695199231283
3.5,18.090514192672867,3.85493707455719
4.0,18.088592978633287,5.376267361019536
4.5,15.931534025651477,4.001919802910206
5.0,16.001240948776744,4.888165267281714
5.5,12.743803640123284,2.739473805818448
6.0,14.740872776713987,4.404636978180688
6.5,14.493650416507663,4.294516775520245
7.0,14.018590678711442,5.679321575586902
7.5,15.772097935661142,3.874424155112122
8.0,11.486076513140324,4.381331751621194
8.5,13.342844168773105,3.0501442341264267
9.0,13.23020921171774,4.990593982405525
