frequency,mean_velocity,standard_deviation
1.0,8.811376169001086,0.9867141161874734
1.5,13.282540714934354,0.861499863766634
2.0,16.172219269279854,2.8281315137828447
2.5,18.228569221249312,3.7606791533359063
3.0,19.231372555132022,4.831598629309618
3.5,21.06350577051047,5.514711785619768
4.0,19.89897644314216,4.608745390339963
4.5,18.733513861950836,6.0607242159905
5.0,21.039768361485024,4.250963369074271
5.5,17.545552659340775,5.424327414288499
6.0,16.644413674155533,3.2645463337744167
6.5,16.06195938016705,7.751730636581156
7.0,13.852461598702448,2.9084974522464844
7.5,15.832087653984225,5.358295545442689
8.0,13.089044411466444,5.295769578398968
8.5,13.713293203003103,4.115976969592807
9.0,13.33397952060735,5.7917458462983
