frequency,mean_velocity,standard_deviation
1.0,9.10320976838641,0.3517380591306671
1.5,11.490553798866234,1.7697367014803678
2.0,17.350371821829842,0.8204126587452425
3.0,24.238662311391256,2.5272342359364415
3.5,23.871947481238628,5.379211007070071
4.0,19.304108093844892,0.0
5.0,18.687151555102506,0.0
5.5,21.444694742914837,2.859885952749691
6.0,23.98328734146564,5.7097310525684986
7.0,19.186736668806812,0.0
7.5,17.396752588840805,4.133950034867207
8.5,20.62239667486824,6.615778112229894
9.0,20.262925284801167,0.0
