frequency,mean_velocity,standard_deviation
1.0,8.746311090635503,0.8082058903219344
1.5,13.105005671754174,1.2516746139542052
2.0,16.891021455146003,2.4101997998968385
2.5,20.25310402374888,2.9632473305349296
3.0,22.010433864006227,4.184677329420706
3.5,22.431741319461324,4.783756904958612
4.0,21.143626644424813,5.106180375022535
4.5,20.720295870120598,6.136965330483424
5.0,20.95103162957915,4.044182655489413
5.5,17.184960708581734,5.628645894527
6.0,17.551224338260557,5.278106160671379
6.5,14.667064641978603,5.3730000976504355
7.0,14.812446842693294,5.20781438124145
7.5,17.710443942768073,5.222705734941785
8.0,12.52373871643244,5.301669809092932
8.5,15.456816486536649,5.016217093539639
9.0,12.122400639653579,5.529108571248703
