frequency,mean_velocity,standard_deviation
1.0,8.881339787549413,0.48568441980617044
1.5,12.900378084519186,0.9820765079301548
2.0,18.64156353828805,1.0083415129743818
2.5,19.60504094214324,4.868456770936422
3.0,12.558502944404758,0.0
3.5,18.870702876457873,5.066760187649196
4.0,19.030189243035462,3.5297240170396
4.5,21.981495181468727,5.418529868880435
5.0,23.219600344238305,0.0
5.5,17.492106680140303,3.552268138473633
7.5,12.920038792241968,2.708395463679437
8.5,12.281179936694846,2.577608870996527
9.0,11.522208486729184,3.481047490515234
